e,median_exact_sigma,median_bound,p05_exact_sigma,p05_bound,median_gap
4,0.641569678485261,0.6415696784852614,0.5889880228629877,0.5889880228629878,-1.1102230246251565e-16
8,0.5685273121876934,0.532441216524313,0.5228381650283561,0.4845977270427965,0.02046071067529409
12,0.5186811321729162,0.4402428672359187,0.46256815561726444,0.32359742347390924,0.0758842727641448
16,0.46256815561726455,0.32359742347390924,0.40466127071665914,0.0,0.1424064788787469
