N,r,theory_e_star,failing_subsets_at_e_star,min_positive_sigma_at_e_star
4,0,4,12,0.2588190451025206
4,1,3,8,0.38268343236508956
4,2,2,4,0.7071067811865472
8,0,6,112,0.21720303617548753
8,1,4,24,0.2588190451025206
8,2,3,16,0.38268343236508945
8,3,2,8,0.7071067811865471
16,1,6,224,0.2172030361754876
16,2,4,48,0.2588190451025205
16,3,3,32,0.3826834323650895
16,4,2,16,0.707106781186547
